Building Name/No_/Location,Council Ward,Latitude,Longitude,Post Code
15,Southside/Newington,55.9397134,-3.1843855,EH9 1LY
7,Southside/Newington,55.9391592,-3.1839173,EH9 1NB
7,Southside/Newington,55.9391592,-3.1839173,EH9 1NB
22,Southside/Newington,55.9425256,-3.181285,EH8 9HY
22,Southside/Newington,55.9425256,-3.181285,EH8 9HY
9,Southside/Newington,55.9396541,-3.1812596,EH9 1QD
9,Southside/Newington,55.9396541,-3.1812596,EH9 1QD
2,Southside/Newington,55.9388753,-3.1805898,EH9 1QY
28,Southside/Newington,55.9382812,-3.1803208,EH9 1QY
1,Southside/Newington,55.9289225,-3.1777698,EH9 3EB
1,Southside/Newington,55.9289225,-3.1777698,EH9 3EB
92,,55.944048,-3.181043,EH8 9RU
8,,55.973025,-3.187655,EH6 4BX
6,,55.973025,-3.187655,EH6 4BX
Opp 10,,55.953987,-3.109632,EH15 2BH
Opp 12,,55.953987,-3.109632,EH15 2BH
Jct Dalkeith Road,,55.932108,-3.164186,EH16 5JT
Jct Dalkeith Road,,55.932108,-3.164186,EH16 5JT
2,,55.946126,-3.139251,EH8 7PE
Jct Bridge Street,,55.956114,-3.114897,EH15 1DB
Edinburgh Leisure,,55.956947,-3.118048,EH15 1DR
Edinburgh Leisure,,55.956947,-3.118048,EH15 1DR
1 to 22,,55.953438,-3.153289,EH8 7DY
1 to 22,,55.953438,-3.153289,EH8 7DY
Opp 30,,55.947275,-3.08187,EH15 2HQ
Cobbinshaw House,,55.920177,-3.296413,EH11 4JP
cnr. Walter Street,,55.861517,-4.203579,G31 3NR
cnr. Marwick Street,,55.862196,-4.205787,G31 3NA
Sep-17,,55.834533,-4.266264,G42 8RB
cnr. Old Dumbarton Road,,55.866681,-4.290292,G3 8TL
opp. 45,,55.870441,-4.273209,G3 6DT
cnr. Old Dumbarton Road,,55.86687,-4.29148,G3 8RB
opp. 19 / 20,,55.824507,-4.264617,G42 9RG
cnr. Queen's Drive,,55.834423,-4.269701,G42 8QS
5,,55.834973,-4.272084,G42 8QF
cnr. West Princes Street,,55.872586,-4.276792,G4 9DT
cnr. Maxwell Road,,55.842972,-4.263905,G41 1QH
opp. 12,,55.826066,-4.266169,G42 9JW
cnr. Napiershall Street,,55.87385,-4.273753,G20 6HD
cnr. Dixon Avenue,,55.833736,-4.256068,G42 8ES
cnr. Clifford Street,,55.851217,-4.29239,G51 1NS
cnr. Annandale Street,,55.839494,-4.25915,G42 7DB
cnr. Kilmarnock Road,,55.825815,-4.286114,G43 1TY
80,,55.826967,-4.255237,G42 9BN
cnr. Cutherbertson Street,,55.838897,-4.260742,G42 7JH
cnr. Old Dumbarton Road,,55.867119,-4.293317,G3 8RF
16,,55.8353,-4.264534,G42 8EB
cnr. Byres Road,,55.874629,-4.294592,G12 9YB
cnr. Turnberry Road,,55.876722,-4.313002,G12 9SE
cnr. West Princes Street,,55.871851,-4.274592,G4 9DL
cnr. Crossloan Road,,55.859691,-4.322209,G51 3SU
15,,55.834528,-4.264758,G42 8DL
cnr. Apsley Street,,55.871852,-4.314833,G11 7SS
cnr. Stewartville Street,,55.871544,-4.304217,G11 5PH
opp. 12,,55.88492,-4.289858,G20 8RS
cnr. Armadale Street,,55.860392,-4.216084,G31 2SG
38,,55.864826,-4.294807,G3 8PJ
cnr. Barcaldine Terrace,,55.838653,-4.275264,G41 4QP
84,,55.82835,-4.265277,G42 9LF
cnr. Elie Street,,55.873651,-4.298053,G11 5JB
opp. 62,,55.84077,-4.27455,G41 2JU
102,,55.86448,-4.29063,G3 8PP
cnr. Albert Drive,,55.841999,-4.272933,G41 2LD
opp. 33 - 35,,55.861686,-4.321114,G51 3UD
cnr. Algie Street,,55.82703,-4.272205,G41 3DL
cnr. Albert Road,,55.83409,-4.2634,G42 8XT
opp. 43,,55.882055,-4.284076,G20 8NW
cnr. Great Western Road,,55.87372,-4.277013,G4 9HU
cnr. Roebank Street,,55.864547,-4.211396,G31 3DX
cnr. Edgehill Road,,55.879059,-4.319146,G11 7JQ
cnr. Pollokshaws Road,,55.83637,-4.27066,G41 2AN
71,,55.837475,-4.27186,G41 2PZ
cnr. Bentinck Street,,55.8668,-4.28621,G3 7TT
cnr. Paisley Road West,,55.85179,-4.2939,G51 1NZ
27 / 35,,55.883376,-4.365258,G14 0YH
cnr. Victoria Road,,55.837254,-4.264851,G42 8LF
cnr. Lauderdale Gardens,,55.878564,-4.308437,G12 9PP
cnr. Dudley Drive,,55.879016,-4.312265,G12 9RY
�,,55.866697,-4.28402,G3 7TU
cnr. Maryhill Road,,55.884981,-4.281288,G20 9TL
opp. 42,,55.833093,-4.278879,G41 2DZ
cnr. Gardner Street,,55.872928,-4.305827,G11 5ED
cnr. Whitehill Place,,55.860296,-4.219134,G31 2LR
opp. Wilton Court,,55.879113,-4.282033,G20 6BH
opp. 170,,55.878657,-4.278633,G20 6BS
cnr. West Princes Street,,55.872207,-4.275659,G4 9EH
opp. 19 / 20,,55.824453,-4.264713,G42 9RG
"Jct Woodlands Road,",,55.871585,-4.277416,G4 9EQ
29,,55.834478,-4.26432,G42 8DL
77,,55.83476,-4.268561,G42 8RA
4,,55.824843,-4.262741,G42 9HW
27,,55.829619,-4.28053,G41 3AB
40,,55.831308,-4.280921,G41 3XF
7,,55.83358,-4.282005,G41 2DN
10,,55.877386,-4.276498,G20 6DZ
46,,55.841423,-4.274397,G41 2LA
130,,55.8783,-4.276786,G20 6QZ
41,,55.8345,-4.26752,G42 8RB
28,,55.885485,-4.287148,G20 8LA
39,,55.860453,-4.218384,G31 2RE
108,,55.859137,-4.214973,G31 2RR
Pavement location nr. 113,,55.878252,-4.275926,G20 6BW
18,,55.839508,-4.273325,G41 2JQ
20,,55.85979,-4.218868,G31 2QU
Jct Dick Street,,55.876423,-4.273826,G20 6HP
33,,55.8726,-4.27678,G4 9DS
3,,55.851696,-4.296937,G51 1AU
17,,55.872171,-4.275736,G4 9DW
270,,55.876391,-4.320448,G11 7LA
10,,55.8332,-4.254302,G42 8AY
65,,55.837972,-4.2704,G41 2PT
59,,55.872472,-4.277052,G4 9ES
137,,55.842439,-4.27259,G41 2NU
6,,55.882158,-4.282958,G20 6PY
11,,55.877321,-4.311756,G12 9RJ
40,,55.871639,-4.332209,G14 0SR
1702,,55.850219,-4.152484,G32 9AW
28,,55.861998,-4.207905,G31 3PD
31,,55.827345,-4.279132,G41 3EP
�,,55.887668,-4.333972,G13 1XJ
53,,55.879201,-4.274044,G20 6RY
333,,55.824329,-4.283019,G41 3HG
133,,55.823507,-4.265532,G42 9RN
14,,55.82543,-4.264857,G42 9JU
108,,55.861856,-4.216324,G31 2QD
24,,55.872124,-4.275937,G4 9DN
8,,55.878425,-4.307191,G12 9PW
22,,55.837923,-4.275397,G41 4LX
60,,55.833345,-4.278434,G41 2DZ
47,,55.824021,-4.269924,G42 9SA
19,,55.836891,-4.279167,G41 4NQ
59,,55.878315,-4.30867,G12 9QU
19,,55.848232,-4.238904,G5 0QE
76,,55.883449,-4.285425,G20 8LP
29,,55.859333,-4.21921,G31 2LW
216,,55.82419,-4.26575,G42 9RE
14,,55.87119,-4.31656,G11 7UX
28,,55.822012,-4.262209,G44 4AZ
15,,55.885024,-4.280074,G20 9TJ
19,,55.843532,-4.274604,G41 2NN
74,,55.837734,-4.277374,G41 4LX
102,,55.879031,-4.312438,G12 9RU
2,,55.836226,-4.274352,G41 2AZ
Jct Niddrie Square,,55.834619,-4.271393,G42 8QA
117,,55.84577733,-4.226547467,G40 1QD
194,,55.878937,-4.279854,G20 6BW
29,,55.826018,-4.258723,G42 9DX
82,,55.825284,-4.268165,G42 9PY
3,,55.83258011,-4.279389135,G41 2EA
2,,55.872398,-4.315109,G11 7XE
12,,55.871701,-4.316127,G11 7XA
9,,55.83138,-4.25631,G42 8BX
31,,55.847651,-4.329199,G52 1AQ
88,,55.878884,-4.311139,G12 9TU
29,,55.840428,-4.274544,G41 2JL
49,,55.877892,-4.320942,G11 7JJ
807,,55.889639,-4.324997,G13 1LY
36,,55.83516,-4.260255,G42 8JF
28,,55.83828,-4.259825,G42 7JZ
205,,55.8367,-4.26178,G42 8XY
50,,55.83797,-4.265857,G42 7RU
17,,55.8621,-4.20242,G31 3RW
6,,55.87151,-4.30271,G11 5PQ
8,,55.83362,-4.25541,G42 8AY
66,,55.83237,-4.281788,G41 3XH
1,,55.8255,-4.28687,G43 1UA
83,,55.83566,-4.26372,G42 8LJ
Jct Roebank Street,,55.864953,-4.214225,G31 3EB
43,,55.87348,-4.305798,G11 5DX
63,,55.82568,-4.258713,G42 9DU
83,,55.829339,-4.279847,G41 3AQ
94,,55.82845,-4.281346,G41 3AQ
93,,55.82914,-4.278139,G41 3BY
23,,55.87144,-4.3059,G11 5NR
27,,55.8716,-4.300409,G11 5RE
60,,55.86607,-4.28926,G3 8PD
80,,55.8235,-4.2682,G42 9SG
42,,55.82196,-4.263586,G44 4AU
18,,55.83976,-4.26054,G42 7AG
90,,55.86241,-4.31559,G51 3BQ
12,,55.86719,-4.29178,G3 8AE
4,,55.82731,-4.284138,G41 3JX
93,,55.83875,-4.25801,G42 7PP
24,,55.86082,-4.308548,G51 2BX
6,,55.85836,-4.21652,G31 1QR
96,,55.85977,-4.216684,G31 2QX
115,,55.84552,-4.27497,G41 1NT
4,,55.87228,-4.29756,G11 5RT
1,,55.87727,-4.28842,G12 8BN
11,,55.82406,-4.26217,G42 9HX
216,,55.82403,-4.46492,G42 9RE
7,,55.82263,-4.261894,G44 4AR
44,,55.84202,-4.27525,G41 2JY
10,,55.84002,-4.27151,G41 2LN
3,,55.87599,-4.34359,G14 0TA
483,,55.87064,-4.31234,G11 6EJ
11,,55.87913,-4.27769,G20 6BT
3,,55.82819,-4.27899,G41 3EH
75,,55.86107,-4.21664,G31 2PX
13,,55.86109,-4.21885,G31 2PU
Jct Armadale Place,,55.864162,-4.216227,G31 3ES
1,,55.83532,-4.27285,G41 2AG
91,,55.87345,-4.30183,G11 5PU
38,,55.87308,-4.2998,G11 5HE
7,,55.88828,-4.378084,G14 0JZ
,,55.877269,-4.321457,G11 7LD
57,,55.8786,-4.32189,G11 7JJ
163,,55.8711,-4.27266,G4 9BZ
